iter	Passed	Remaining
184	1545	6808
185	1553	6798
186	1561	6789
187	1569	6778
188	1577	6767
189	1586	6765
190	1594	6755
191	1602	6745
192	1611	6736
193	1618	6726
194	1626	6714
195	1634	6704
196	1641	6692
197	1650	6683
198	1657	6673
199	1665	6661
200	1673	6651
201	1681	6641
202	1689	6631
203	1696	6621
204	1704	6610
205	1712	6602
206	1721	6596
207	1730	6588
208	1738	6581
209	1747	6572
210	1754	6562
211	1764	6558
212	1772	6549
213	1780	6540
214	1789	6534
215	1798	6526
216	1805	6515
217	1813	6504
218	1820	6494
219	1829	6485
220	1837	6476
221	1844	6465
222	1852	6455
223	1861	6448
224	1869	6439
225	1877	6429
226	1885	6419
227	1893	6411
228	1901	6401
229	1908	6390
230	1916	6380
231	1924	6371
232	1932	6360
233	1940	6352
234	1948	6342
235	1958	6338
236	1965	6328
237	1973	6319
238	1981	6307
239	1990	6302
240	1998	6292
241	2006	6283
242	2013	6273
243	2023	6268
244	2031	6259
245	2038	6249
246	2046	6239
247	2054	6229
248	2062	6219
249	2070	6210
250	2077	6200
251	2085	6191
252	2093	6181
253	2101	6171
254	2110	6165
255	2119	6161
256	2128	6153
257	2137	6146
258	2145	6138
259	2153	6128
260	2161	6119
261	2169	6110
262	2177	6100
263	2184	6091
264	2193	6082
265	2200	6072
266	2208	6063
267	2216	6053
268	2223	6043
269	2231	6034
270	2239	6025
271	2247	6015
272	2255	6005
273	2262	5996
274	2270	5986
275	2278	5976
276	2286	5967
277	2295	5961
278	2303	5952
279	2311	5945
280	2319	5935
281	2327	5926
282	2335	5917
283	2343	5908
284	2351	5898
285	2360	5892
286	2368	5883
287	2376	5874
288	2383	5864
289	2391	5855
290	2399	5845
291	2406	5836
292	2414	5826
293	2423	5819
294	2432	5813
295	2440	5804
296	2448	5795
297	2456	5786
298	2465	5779
299	2473	5772
300	2482	5763
301	2491	5757
302	2498	5748
303	2506	5738
304	2514	5728
305	2522	5720
306	2530	5711
307	2537	5701
308	2545	5692
309	2553	5683
310	2561	5674
311	2568	5664
312	2577	5657
313	2586	5650
314	2594	5642
315	2603	5635
316	2612	5627
317	2620	5619
318	2627	5610
319	2636	5602
320	2644	5594
321	2653	5586
322	2661	5578
323	2669	5569
324	2677	5561
325	2685	5551
326	2693	5542
327	2700	5533
328	2709	5526
329	2719	5521
330	2727	5512
331	2736	5506
332	2745	5498
333	2753	5490
334	2761	5482
335	2770	5474
336	2777	5465
337	2785	5455
338	2793	5447
339	2801	5438
340	2809	5429
341	2818	5423
342	2827	5415
343	2836	5408
344	2843	5399
345	2851	5389
346	2859	5382
347	2867	5372
348	2875	5363
349	2883	5354
350	2891	5346
351	2899	5338
352	2907	5329
353	2915	5320
354	2922	5310
355	2930	5302
356	2938	5292
357	2946	5283
358	2954	5274
359	2962	5267
360	2970	5258
361	2978	5249
362	2986	5241
363	2995	5233
364	3003	5224
365	3011	5216
366	3019	5208
367	3027	5199
368	3035	5190
369	3042	5180
370	3050	5172
371	3058	5163
372	3066	5154
373	3073	5144
374	3082	5137
375	3090	5128
376	3098	5119
377	3105	5110
378	3113	5102
379	3123	5096
380	3131	5087
381	3139	5079
382	3147	5070
383	3154	5061
384	3163	5052
385	3172	5045
386	3180	5037
387	3188	5028
388	3196	5020
389	3204	5011
390	3212	5003
391	3219	4994
392	3227	4984
393	3235	4976
394	3243	4968
395	3251	4959
396	3259	4950
397	3267	4941
398	3274	4932
399	3282	4924
400	3290	4915
401	3298	4907
402	3306	4898
403	3314	4889
404	3322	4881
405	3330	4872
406	3338	4864
407	3346	4855
408	3355	4848
409	3364	4841
410	3372	4833
411	3380	4824
412	3388	4815
413	3396	4806
414	3404	4798
415	3412	4790
416	3420	4782
417	3428	4774
418	3436	4765
419	3444	4756
420	3452	4748
421	3460	4740
422	3468	4731
423	3476	4723
424	3485	4715
425	3493	4706
426	3500	4697
427	3508	4688
428	3517	4681
429	3525	4673
430	3533	4665
431	3541	4656
432	3549	4647
433	3557	4639
434	3566	4631
435	3573	4622
436	3581	4614
437	3589	4605
438	3597	4597
439	3605	4588
440	3612	4579
441	3620	4571
442	3628	4562
443	3636	4553
444	3644	4545
445	3652	4536
446	3661	4529
447	3670	4522
448	3678	4513
449	3685	4505
450	3693	4496
451	3701	4488
452	3711	4481
453	3720	4473
454	3728	4465
455	3737	4458
456	3747	4452
457	3756	4445
458	3764	4437
459	3772	4429
460	3780	4420
461	3788	4412
462	3797	4404
463	3804	4395
464	3812	4386
465	3820	4377
466	3828	4369
467	3836	4360
468	3844	4352
469	3852	4344
470	3860	4336
471	3868	4327
472	3877	4320
473	3887	4313
474	3896	4306
475	3904	4298
476	3913	4290
477	3923	4284
478	3931	4275
479	3938	4267
480	3946	4258
481	3954	4249
482	3962	4241
483	3970	4232
484	3977	4223
485	3985	4215
486	3993	4206
487	4000	4197
488	4009	4189
489	4017	4181
490	4024	4172
491	4032	4163
492	4040	4154
493	4048	4147
494	4057	4139
495	4066	4132
496	4074	4123
497	4083	4115
498	4090	4107
499	4098	4098
500	4106	4089
501	4114	4081
502	4122	4073
503	4130	4064
504	4138	4056
505	4146	4048
506	4155	4040
507	4162	4031
508	4170	4022
509	4178	4014
510	4185	4005
511	4194	3997
512	4202	3989
513	4209	3980
514	4216	3971
515	4226	3964
516	4234	3955
517	4242	3947
518	4250	3939
519	4258	3931
520	4266	3922
521	4274	3914
522	4282	3905
523	4289	3896
524	4298	3888
525	4305	3879
526	4312	3871
527	4320	3862
528	4328	3853
529	4336	3845
530	4343	3836
531	4350	3827
532	4359	3819
533	4366	3810
534	4374	3802
535	4382	3793
536	4390	3785
537	4398	3777
538	4406	3769
539	4414	3760
540	4422	3751
541	4430	3743
542	4438	3735
543	4446	3726
544	4455	3720
545	4464	3712
546	4472	3704
547	4480	3695
548	4490	3689
549	4500	3682
550	4508	3673
551	4517	3666
552	4525	3657
553	4533	3649
554	4541	3641
555	4549	3633
556	4557	3624
557	4565	3616
558	4574	3608
559	4583	3601
560	4591	3593
561	4600	3585
562	4609	3578
563	4618	3570
564	4626	3561
565	4633	3553
566	4643	3545
567	4651	3537
568	4658	3529
569	4666	3520
570	4675	3512
571	4683	3504
572	4691	3496
573	4699	3487
574	4707	3479
575	4715	3470
576	4725	3463
577	4733	3456
578	4742	3448
579	4754	3443
580	4764	3435
581	4773	3428
582	4781	3420
583	4789	3411
584	4798	3403
585	4805	3395
586	4813	3386
587	4822	3378
588	4830	3370
589	4838	3362
590	4846	3353
591	4853	3345
592	4863	3337
593	4871	3329
594	4879	3321
595	4886	3312
596	4894	3304
597	4902	3295
598	4910	3287
599	4917	3278
600	4925	3270
601	4933	3261
602	4942	3253
603	4950	3245
604	4958	3237
605	4965	3228
606	4973	3220
607	4981	3211
608	4989	3203
609	4997	3195
610	5005	3186
611	5013	3178
612	5021	3170
613	5029	3161
614	5037	3153
615	5045	3145
616	5053	3136
617	5060	3128
618	5068	3119
619	5076	3111
620	5084	3102
621	5091	3094
622	5100	3086
623	5108	3078
624	5116	3069
625	5124	3061
626	5131	3052
627	5140	3044
628	5147	3036
629	5155	3027
630	5162	3018
631	5171	3011
632	5179	3002
633	5186	2994
634	5194	2985
635	5202	2977
636	5211	2969
637	5218	2961
638	5226	2952
639	5234	2944
640	5242	2936
641	5250	2927
642	5257	2919
643	5265	2910
644	5275	2903
645	5283	2895
646	5291	2886
647	5300	2879
648	5308	2870
649	5316	2862
650	5323	2854
651	5332	2846
652	5339	2837
653	5346	2828
654	5353	2819
655	5362	2811
656	5370	2803
657	5377	2795
658	5385	2786
659	5392	2777
660	5399	2769
661	5406	2760
662	5413	2751
663	5420	2742
664	5427	2734
665	5434	2725
666	5440	2716
667	5448	2707
668	5455	2699
669	5463	2690
670	5469	2681
671	5476	2673
672	5483	2664
673	5491	2656
674	5498	2647
675	5505	2638
676	5512	2629
677	5519	2621
678	5525	2612
679	5532	2603
680	5538	2594
681	5546	2586
682	5553	2577
683	5560	2568
684	5567	2560
685	5573	2551
686	5580	2542
687	5587	2534
688	5595	2525
689	5603	2517
690	5611	2509
691	5619	2501
692	5629	2493
693	5637	2485
694	5645	2477
695	5652	2468
696	5659	2460
697	5666	2451
698	5673	2442
699	5680	2434
700	5688	2426
701	5695	2417
702	5703	2409
703	5710	2401
704	5718	2392
705	5724	2383
706	5732	2375
707	5739	2367
708	5746	2358
709	5754	2350
710	5763	2342
711	5771	2334
712	5777	2325
713	5784	2317
714	5791	2308
715	5801	2300
716	5808	2292
717	5816	2284
718	5824	2276
719	5833	2268
720	5840	2260
721	5848	2251
722	5855	2243
723	5861	2234
724	5869	2226
725	5877	2218
726	5883	2209
727	5890	2200
728	5897	2192
729	5904	2183
730	5911	2175
731	5918	2166
732	5925	2158
733	5932	2150
734	5939	2141
735	5946	2132
736	5953	2124
737	5961	2116
738	5969	2108
739	5978	2100
740	5986	2092
741	5993	2084
742	6001	2075
743	6008	2067
744	6016	2059
745	6024	2051
746	6032	2042
747	6038	2034
748	6046	2026
749	6054	2018
750	6062	2010
751	6070	2001
752	6078	1993
753	6086	1985
754	6094	1977
755	6101	1969
756	6108	1961
757	6116	1952
758	6124	1944
759	6131	1936
760	6139	1928
761	6148	1920
762	6156	1912
763	6165	1904
764	6173	1896
765	6181	1888
766	6188	1880
767	6197	1872
768	6205	1864
769	6213	1855
770	6220	1847
771	6229	1839
772	6237	1831
773	6245	1823
774	6252	1815
775	6259	1806
776	6266	1798
777	6272	1789
778	6279	1781
779	6286	1773
780	6293	1764
781	6300	1756
782	6307	1748
783	6314	1739
784	6321	1731
785	6329	1723
786	6335	1714
787	6342	1706
788	6349	1698
789	6356	1689
790	6363	1681
791	6370	1673
792	6378	1664
793	6386	1656
794	6394	1648
795	6402	1640
796	6412	1633
797	6421	1625
798	6428	1617
799	6435	1608
800	6443	1600
801	6450	1592
802	6456	1584
803	6463	1575
804	6470	1567
805	6476	1558
806	6484	1550
807	6490	1542
808	6497	1533
809	6504	1525
810	6511	1517
811	6518	1509
812	6525	1500
813	6532	1492
814	6539	1484
815	6545	1476
816	6552	1467
817	6559	1459
818	6566	1451
819	6573	1442
820	6580	1434
821	6586	1426
822	6593	1418
823	6600	1409
824	6606	1401
825	6613	1393
826	6620	1384
827	6627	1376
828	6634	1368
829	6641	1360
830	6648	1352
831	6655	1343
832	6661	1335
833	6669	1327
834	6676	1319
835	6683	1311
836	6691	1303
837	6699	1295
838	6706	1286
839	6713	1278
840	6719	1270
841	6728	1262
842	6735	1254
843	6743	1246
844	6751	1238
845	6760	1230
846	6767	1222
847	6775	1214
848	6782	1206
849	6789	1198
850	6796	1189
851	6803	1181
852	6809	1173
853	6816	1165
854	6823	1157
855	6830	1149
856	6837	1140
857	6844	1132
858	6852	1124
859	6858	1116
860	6866	1108
861	6873	1100
862	6880	1092
863	6887	1084
864	6894	1075
865	6901	1067
866	6907	1059
867	6914	1051
868	6921	1043
869	6928	1035
870	6935	1027
871	6942	1019
872	6949	1011
873	6956	1002
874	6963	994
875	6969	986
876	6976	978
877	6983	970
878	6990	962
879	6997	954
880	7004	946
881	7011	937
882	7017	929
883	7025	921
884	7032	913
885	7040	905
886	7048	897
887	7055	889
888	7063	881
889	7071	873
890	7079	866
891	7088	858
892	7095	850
893	7104	842
894	7111	834
895	7119	826
896	7126	818
897	7133	810
898	7141	802
899	7148	794
900	7155	786
901	7162	778
902	7169	770
903	7176	762
904	7183	754
905	7189	745
906	7197	738
907	7205	730
908	7213	722
909	7220	714
910	7227	706
911	7234	698
912	7240	689
913	7247	681
914	7254	673
915	7261	665
916	7268	657
917	7276	649
918	7283	641
919	7291	634
920	7299	626
921	7306	618
922	7314	610
923	7320	602
924	7327	594
925	7334	586
926	7341	578
927	7348	570
928	7354	562
929	7361	554
930	7368	546
931	7375	538
932	7382	530
933	7389	522
934	7396	514
935	7403	506
936	7411	498
937	7418	490
938	7425	482
939	7431	474
940	7439	466
941	7446	458
942	7453	450
943	7461	442
944	7469	434
945	7476	426
946	7482	418
947	7489	410
948	7496	402
949	7503	394
950	7510	386
951	7517	379
952	7523	371
953	7530	363
954	7537	355
955	7544	347
956	7551	339
957	7558	331
958	7566	323
959	7572	315
960	7579	307
961	7585	299
962	7592	291
963	7599	283
964	7607	275
965	7614	267
966	7621	260
967	7629	252
968	7636	244
969	7643	236
970	7649	228
971	7656	220
972	7662	212
973	7669	204
974	7676	196
975	7682	188
976	7690	181
977	7696	173
978	7703	165
979	7710	157
980	7716	149
981	7724	141
982	7732	133
983	7741	125
984	7749	118
985	7756	110
986	7763	102
987	7770	94
988	7778	86
989	7785	78
990	7792	70
991	7799	62
992	7806	55
993	7813	47
994	7820	39
995	7826	31
996	7833	23
997	7839	15
998	7846	7
999	7853	0
