iter	Precision	Logloss
0	0.8004738491	0.5964953198
1	0.8235603878	0.5250998464
2	0.8381959377	0.4745991958
3	0.8407934326	0.4420899976
4	0.8404216766	0.4138488207
5	0.8438989446	0.3912158333
6	0.8478525447	0.375663131
7	0.8471959441	0.3649343528
8	0.846375325	0.356827499
9	0.8451813458	0.3446677712
10	0.8488721485	0.3370514821
11	0.8500430953	0.3290779808
12	0.8512482203	0.324155412
13	0.8530193016	0.3191666126
14	0.8603762093	0.3127478187
15	0.8634710075	0.3070721363
16	0.8639736671	0.3038054652
17	0.8633035843	0.2988554991
18	0.8610512793	0.2966132755
19	0.8614662045	0.292393401
20	0.8648711655	0.2891862287
21	0.8648127349	0.2861804768
22	0.8638060489	0.2824928113
23	0.8661586386	0.2796147567
24	0.8677187584	0.2764972813
25	0.8689300422	0.2742732507
26	0.8714671898	0.2705591403
27	0.8716509956	0.2681951476
28	0.8724841985	0.2665877603
29	0.8721507263	0.2642077384
30	0.8763253012	0.2606042247
31	0.8796831577	0.2581968612
32	0.8809927825	0.2561222742
33	0.8808247945	0.2546014012
34	0.8801534827	0.2528276681
35	0.87965067	0.2510145539
36	0.8799858146	0.2494153477
37	0.8814538211	0.2473908982
38	0.882123084	0.2462189933
39	0.8841369843	0.2441151873
40	0.8838006959	0.2420262401
41	0.8863291123	0.2392618104
42	0.8870058018	0.236983629
43	0.8883622853	0.2338821219
44	0.8883622853	0.2331703383
45	0.8899683631	0.2308334876
46	0.8899683631	0.2302233865
47	0.8918358921	0.2287860674
48	0.8933697102	0.2264414164
49	0.8961481882	0.2232525815
50	0.8963189852	0.2212102283
51	0.8966607745	0.2198372363
52	0.8966607745	0.217371792
53	0.897887327	0.2160729356
54	0.9001381326	0.2148851468
55	0.9004768267	0.2133285267
56	0.9001381326	0.2117381511
57	0.9021741279	0.2098499929
58	0.9042193544	0.2060056495
59	0.9043902086	0.2050206613
60	0.9054166912	0.2034287006
61	0.9069607916	0.2012477343
62	0.9076487502	0.1989508379
63	0.9076487502	0.1967168082
64	0.9086826473	0.1949540925
65	0.9092004796	0.193648897
66	0.9093732215	0.1926541161
67	0.9093732215	0.1910961453
68	0.9093732215	0.190321922
69	0.9098498502	0.1896059344
70	0.9096779265	0.1878867901
71	0.9101938926	0.1861820846
72	0.9108352171	0.1851002701
73	0.9122079906	0.1831150235
74	0.9125518308	0.1821712902
75	0.9123798783	0.1810973359
76	0.9130680773	0.1795027622
77	0.914965989	0.1778566021
78	0.914965989	0.1767331208
79	0.9151389177	0.1751891446
80	0.9151389177	0.174128142
81	0.9151389177	0.1738816491
82	0.9156580964	0.1722471435
83	0.9160045428	0.1706668884
84	0.9172191728	0.1686832746
85	0.9170454571	0.1680001594
86	0.9186112717	0.1664046977
87	0.9189599569	0.1650037538
88	0.9200076027	0.1626658579
89	0.9203573489	0.1606004934
90	0.9217589972	0.1593759835
91	0.9226371975	0.1583704351
92	0.9226371975	0.1563079307
93	0.9242221821	0.1550622896
94	0.925635636	0.1527452597
95	0.9272309482	0.1508436041
96	0.9297235045	0.148847277
97	0.9306169539	0.1474644051
98	0.9306169539	0.1463497336
99	0.9309748147	0.1450248645
100	0.9318706718	0.143745195
101	0.9322294977	0.1423885162
102	0.9322294977	0.1413192333
103	0.9333076351	0.1399253517
104	0.9361948976	0.1373813645
105	0.9369195066	0.1360235902
106	0.9371008342	0.1350611881
107	0.9376452382	0.1333640466
108	0.9387359461	0.1315753823
109	0.9396468096	0.1300768885
110	0.9400116501	0.1284981354
111	0.9407421818	0.1275081326
112	0.9414738498	0.1262778581
113	0.9416569446	0.1249739657
114	0.9418401107	0.1236843829
115	0.9422066568	0.1222447563
116	0.9438596509	0.1208850158
117	0.9445961781	0.1196753774
118	0.9460726863	0.118247673
119	0.9468126728	0.1173415667
120	0.9471831002	0.1159039952
121	0.9484818821	0.1145263031
122	0.9501569874	0.1129368612
123	0.9503434756	0.1122928651
124	0.9509033794	0.1113801042
125	0.9510901606	0.1102156947
126	0.9509033794	0.1095113314
127	0.9510901606	0.1087635076
128	0.9512770153	0.1077644152
129	0.9522123909	0.1068319683
130	0.9522123909	0.1061486596
131	0.9535250113	0.1047870248
132	0.9546529983	0.103892455
133	0.9552179931	0.1033536384
134	0.9546529983	0.1024842549
135	0.9557836571	0.1015030918
136	0.9557836571	0.1005171129
137	0.9569169974	0.09963972459
138	0.957674052	0.09903070766
139	0.9578635028	0.09758839228
140	0.9591917604	0.09630318208
141	0.9593818123	0.09523391539
142	0.9595719395	0.09444743198
143	0.959762142	0.09381826902
144	0.9610956741	0.09302035609
145	0.9610956741	0.09231487344
146	0.961668323	0.09171168539
147	0.961668323	0.09086346356
148	0.9624329171	0.09004151493
149	0.9626242557	0.08906084317
150	0.9645418338	0.08818126816
151	0.9645418338	0.08753757386
152	0.9647340119	0.08708678953
153	0.9647340119	0.08595906456
154	0.9649262666	0.08517701895
155	0.9649262666	0.0844405483
156	0.9662741978	0.08372586376
157	0.9664670669	0.08317535047
158	0.9670461365	0.08264669953
159	0.9672393139	0.08196699256
160	0.9674325685	0.08153204663
161	0.9674325685	0.0811596246
162	0.9678193094	0.08049446872
163	0.9685937198	0.07987195749
164	0.9689813898	0.07932705121
165	0.9691753413	0.07869738679
166	0.9689813898	0.07828186971
167	0.9693693704	0.07784801603
168	0.9697576617	0.0773855125
169	0.9705351783	0.07692369863
170	0.9713139427	0.07639574867
171	0.9713139427	0.07531318202
172	0.9715088292	0.0747802991
173	0.9717037938	0.07412527546
174	0.9720939579	0.07375764411
175	0.9724844355	0.0731988711
176	0.9722891575	0.0728836347
177	0.9724844355	0.07241745445
178	0.9728752269	0.07211627331
179	0.9734620033	0.07124257822
180	0.9738535809	0.07082855669
181	0.9740494879	0.07052063115
182	0.974637682	0.07011594388
183	0.974637682	0.06987823074
184	0.9750302062	0.069418395
185	0.9756195857	0.06911537837
186	0.9760129014	0.06855891729
187	0.9764065343	0.06760002921
188	0.9764065343	0.06726490223
189	0.9773920072	0.06608980714
190	0.9775893405	0.06571669603
191	0.9777867535	0.06526026719
192	0.9779842463	0.06488967246
193	0.9781818189	0.06439528881
194	0.9783794713	0.06384015646
195	0.9783794713	0.0635924773
196	0.9783794713	0.06335765522
197	0.9789729081	0.06277360049
198	0.9787750158	0.0622227099
199	0.9787750158	0.06187533135
200	0.9795670652	0.0614067172
201	0.9799635708	0.06102155289
202	0.9799635708	0.06081930454
203	0.9803603975	0.0600897059
204	0.9803603975	0.05984541959
205	0.9805589314	0.05936831387
206	0.9805589314	0.0586883115
207	0.9807575457	0.05845836749
208	0.9805589314	0.05817497461
209	0.9805589314	0.05793054504
210	0.9809562405	0.05769063579
211	0.9815528082	0.05738520158
212	0.9815528082	0.05701595071
213	0.9817518254	0.05635481114
214	0.982150102	0.05593690896
215	0.982150102	0.05566344297
216	0.9825487019	0.0553838454
217	0.9827481232	0.05508098492
218	0.9829476254	0.05481164646
219	0.9831472087	0.05461835704
220	0.9837464451	0.05438490698
221	0.984146342	0.05385311306
222	0.9845465641	0.0534225123
223	0.9845465641	0.05326049681
224	0.984947112	0.05303824714
225	0.984947112	0.05260091316
226	0.9851475081	0.05196053874
227	0.9851475081	0.05151089534
228	0.9851475081	0.05071085356
229	0.9853479858	0.05054971494
230	0.9853479858	0.05009422907
231	0.9855485451	0.0496924352
232	0.9857491861	0.04953877169
233	0.9857491861	0.04934173028
234	0.9861507133	0.04915214155
235	0.9863515995	0.04879931988
236	0.9863515995	0.04850301859
237	0.9865525677	0.04795835903
238	0.9865525677	0.04777815342
239	0.9865525677	0.0475449131
240	0.9869547497	0.04707149473
241	0.9867536177	0.04691626814
242	0.9871559637	0.04670027846
243	0.9871559637	0.04630901526
244	0.9873572598	0.04601926272
245	0.987558638	0.04568886899
246	0.9873572598	0.04524751722
247	0.9877600983	0.04503267035
248	0.9877600983	0.04491505698
249	0.9885667623	0.04463435545
250	0.9887686342	0.04427479117
251	0.9891726255	0.04395320142
252	0.989576947	0.04378382863
253	0.9897792317	0.04366283797
254	0.9901840494	0.04338615002
255	0.9899815992	0.04305221174
256	0.9899815992	0.04281365143
257	0.9899815992	0.0427071942
258	0.9899815992	0.04241740817
259	0.9901840494	0.04228906546
260	0.9903865824	0.04186928366
261	0.9903865824	0.04165067198
262	0.9903865824	0.0414919345
263	0.9901840494	0.04136663009
264	0.9901840494	0.04125626066
265	0.9901840494	0.04115587172
266	0.9901840494	0.04076362623
267	0.9905891983	0.04048326504
268	0.9907918972	0.04010720752
269	0.990994679	0.03976206647
270	0.9911975438	0.03935457367
271	0.9911975438	0.03907026939
272	0.9911975438	0.03892333569
273	0.9911975438	0.03870762682
274	0.9911975438	0.03853396046
275	0.9911975438	0.03826684341
276	0.9914004917	0.03785541221
277	0.9918066369	0.03752376502
278	0.9920098343	0.03736022203
279	0.992213115	0.03717476551
280	0.9920098343	0.03698145361
281	0.9920098343	0.03675547948
282	0.9920098343	0.03646760367
283	0.992213115	0.03628957777
284	0.992213115	0.03614518722
285	0.992213115	0.03577348802
286	0.992213115	0.03559328042
287	0.992416479	0.03548385603
288	0.9926199264	0.03530514709
289	0.9928234573	0.0349410477
290	0.9934345509	0.03485341883
291	0.993638416	0.03467782408
292	0.993638416	0.03451904496
293	0.993638416	0.03426695475
294	0.993638416	0.03416613884
295	0.993638416	0.03395678799
296	0.9938423647	0.03372144643
297	0.9938423647	0.03354718433
298	0.9938423647	0.03331206826
299	0.9940463972	0.03307510168
300	0.9940463972	0.03285043374
301	0.9940463972	0.03269377256
302	0.9940463972	0.03248443546
303	0.9940463972	0.03239279405
304	0.9940463972	0.03233064487
305	0.9942505135	0.03227504131
306	0.9942505135	0.03203505369
307	0.9942505135	0.03191143497
308	0.9948633657	0.03162284811
309	0.9950678177	0.03130199179
310	0.9954769738	0.03112186956
311	0.9954769738	0.03087090429
312	0.9952723537	0.03070278927
313	0.9952723537	0.0306025317
314	0.9952723537	0.03048948497
315	0.9954769738	0.03029608023
316	0.9956816781	0.03012317867
317	0.9956816781	0.02997912808
318	0.9954769738	0.02984587501
319	0.9954769738	0.02968331303
320	0.9956816781	0.02942900495
321	0.9956816781	0.02923891617
322	0.9956816781	0.02909039376
323	0.9956816781	0.0289528201
324	0.9956816781	0.02881564345
325	0.9958864666	0.02873472953
326	0.9958864666	0.02858447792
327	0.9958864666	0.02842265941
328	0.9960913394	0.02833787305
329	0.9960913394	0.02817862727
330	0.9962962964	0.02809092722
